sep=;
Line #;Reward Date;Investment Amount;Current Month Reward Amount;Total Reward Amount To Date;Staking Reward Rate
1;2025-04-23;25.000000;0.047945;0.047945;10.00%
2;2025-05-23;25.047945;0.199011;0.246956;10.00%
3;2025-06-23;25.246956;0.207509;0.454466;10.00%
4;2025-07-23;25.454466;0.202241;0.656706;10.00%
5;2025-08-23;25.656706;0.210877;0.867584;10.00%
6;2025-09-23;25.867584;0.212610;1.080194;10.00%
7;2025-10-23;26.080194;0.207212;1.287406;10.00%
8;2025-11-23;26.287406;0.216061;1.503467;10.00%
9;2025-12-23;26.503467;0.210575;1.714043;10.00%
10;2026-01-23;26.714043;0.219567;1.933610;10.00%
11;2026-02-23;26.933610;0.221372;2.154982;10.00%
12;2026-03-23;27.154982;0.200872;2.355855;10.00%
13;2026-04-23;27.355855;0.212851;2.568706;8.00%
14;2026-05-23;27.568706;0.175231;2.743937;8.00%
15;2026-06-23;27.743937;0.182426;2.926363;8.00%
16;2026-07-23;27.926363;0.177505;3.103867;8.00%
17;2026-08-23;28.103867;0.184793;3.288660;8.00%
18;2026-09-23;28.288660;0.186008;3.474668;8.00%
19;2026-10-23;28.474668;0.180990;3.655657;8.00%
20;2026-11-23;28.655657;0.188421;3.844078;8.00%
21;2026-12-23;28.844078;0.183338;4.027416;8.00%
22;2027-01-23;29.027416;0.190865;4.218281;8.00%
23;2027-02-23;29.218281;0.192120;4.410401;8.00%
24;2027-03-23;29.410401;0.174045;4.584446;8.00%
25;2027-04-15;29.584446;0.142654;4.727100;8.00%
